عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی,دسته_بازبینی
تولد,166,64,role,کودک (0.67),واژه‌ی جدید,role
به خلع,110,64,action,خلع ید (0.69),واژه‌ی جدید,action
عدول,82,64,concept,عدوان (0.81),واژه‌ی جدید,concept
بابت نفقه,98,64,concept,نفقه (0.83),واژه‌ی جدید,concept
دانگ مشاع,128,64,object,مشاع (0.78),واژه‌ی جدید,object
آمادگی,86,64,object,هزینه‌های آماده‌سازی (0.68),واژه‌ی جدید,object
رای شعبه,70,63,object,رای مشورتی (0.80),واژه‌ی جدید,object
نمودم,83,63,action,تصرف (0.60),واژه‌ی جدید,action
نمایم,87,63,object,نام (0.63),واژه‌ی جدید,object
البین,70,63,object,عین (0.63),واژه‌ی جدید,object
ثبت طلاق,95,63,concept,طلاق (0.85),واژه‌ی جدید,concept
بنابراین دادنامه,63,63,concept,دادرسی (0.66),واژه‌ی جدید,concept
انان,112,63,object,اعیان (0.61),واژه‌ی جدید,object
زیرا اولا,66,63,concept,علت (0.63),واژه‌ی جدید,concept
نمی رسد,68,63,concept,بی‌کفایتی (0.68),واژه‌ی جدید,concept
مطلق,89,63,role,مطلقه (0.83),واژه‌ی جدید,role
از خواسته,76,63,object,طلب (0.75),واژه‌ی جدید,object
به دستور,88,63,object,دستور (0.74),واژه‌ی جدید,object
ابلاغ به,74,63,action,استعلام (0.70),واژه‌ی جدید,action
خواهان اصلی,135,63,role,اصحاب دعوی (0.72),واژه‌ی جدید,role
حسب اظهارات,67,63,principle,طبق قانون (0.69),واژه‌ی جدید,principle
قرارداد به,73,63,object,قرارداد (0.87),alias پیشنهادی برای «قرارداد»,object
به بانک,104,63,object,بانک (0.78),واژه‌ی جدید,object
دادگاه حضوری,64,63,action,ورود به دادگاه (0.75),واژه‌ی جدید,action
آن نمی,65,63,concept,غیرمستقل (0.59),واژه‌ی جدید,REMOVE
دفتر ازدواج,70,63,object,دفتر اسناد رسمی (0.77),واژه‌ی جدید,object
به اداره,98,63,principle,طبق قانون (0.72),واژه‌ی جدید,principle
قرار گرفت,70,63,action,وضع (0.73),واژه‌ی جدید,action
ایرانی,160,63,role,نویسنده (0.63),واژه‌ی جدید,role
فصل,85,63,concept,فصل مشترک (0.79),واژه‌ی جدید,REMOVE
که طرفین,71,63,action,طی تفاهم (0.66),واژه‌ی جدید,action
خیابان,100,63,object,شوارع (0.80),واژه‌ی جدید,object
صادره نسبت,65,63,object,نسبت‌نامه (0.69),واژه‌ی جدید,object
قانون یاد,68,63,object,قانون (0.67),واژه‌ی جدید,object
تعهد به,78,63,concept,تعهد (0.93),alias پیشنهادی برای «تعهد»,concept
هایی,78,63,role,اهل (0.62),واژه‌ی جدید,REMOVE
هذا دادگاه,65,63,action,ورود به دادگاه (0.76),واژه‌ی جدید,action
بتواند,73,63,concept,مظنه (0.63),واژه‌ی جدید,concept
نظر گرفتن,68,63,concept,تصمیم‌گیری (0.74),واژه‌ی جدید,concept
الذکر قطعی,63,63,concept,احکام قطعی (0.73),واژه‌ی جدید,concept
معرفی کرده,70,63,action,پیشنهاد (0.74),واژه‌ی جدید,action
به تهیه,86,63,action,گرفتن (0.68),واژه‌ی جدید,action
وکیل ایشان,70,63,role,وکیل (0.74),واژه‌ی جدید,role
نزاع,103,63,concept,تنازع (0.80),واژه‌ی جدید,concept
آنان در,67,63,role,اهل (0.59),واژه‌ی جدید,role
مشاع از,115,63,object,مشاع (0.86),واژه‌ی جدید,object
بلا,83,63,object,بلاک (0.73),واژه‌ی جدید,REMOVE
پرداخت مهریه,103,63,action,پرداخت (0.69),واژه‌ی جدید,action
مخالفتی,65,63,concept,مخالف (0.86),واژه‌ی جدید,concept
مندرجات آن,65,63,concept,واجد شرایط (0.51),واژه‌ی جدید,concept
باکره,184,63,object,بیعانه (0.57),واژه‌ی جدید,object
نکاحیه شماره,68,63,concept,نکاح (0.75),واژه‌ی جدید,concept
ازدواج با,82,63,concept,ازدواج (0.84),واژه‌ی جدید,concept
می‌باشد،,85,63,principle,طبق قانون (0.64),واژه‌ی جدید,principle
هفتاد,87,63,object,هفتگی (0.68),واژه‌ی جدید,object
از دفتر,68,63,object,دفترخانه (0.76),واژه‌ی جدید,object
زوج می,73,63,concept,ازدواج (0.63),واژه‌ی جدید,concept
العقد,147,63,concept,عقد (0.84),واژه‌ی جدید,concept
سجلی,172,63,action,ثبت (0.74),واژه‌ی جدید,action
دستمزد,97,62,concept,اجرت (0.79),واژه‌ی جدید,concept
ایام عده,145,62,concept,عده (0.81),واژه‌ی جدید,concept
اصلاح ذات,69,62,action,اصلاح ذات‌البین (0.86),واژه‌ی جدید,action
زوج بوده,67,62,concept,ازدواج (0.69),واژه‌ی جدید,concept
مرحله بدوی,68,62,concept,روند دادرسی (0.55),واژه‌ی جدید,concept
که بدون,67,62,concept,غیرمستقل (0.62),واژه‌ی جدید,concept
دادنامه فرجامخواسته,90,62,object,دادخواست (0.69),واژه‌ی جدید,object
مابه,94,62,object,موهوبه (0.71),واژه‌ی جدید,object
التفاوت,103,62,concept,تمایز (0.78),واژه‌ی جدید,concept
اعلامی از,70,62,object,اعلامیه حراج (0.71),واژه‌ی جدید,object
نماید در,67,62,principle,لحاظ (0.64),واژه‌ی جدید,REMOVE
ومواد,66,62,object,عقار (0.66),واژه‌ی جدید,object
اول از,72,62,concept,خارج از موضوع (0.57),واژه‌ی جدید,REMOVE
اینکه طبق,64,62,principle,طبق قانون (0.85),واژه‌ی جدید,principle
بدان,75,62,concept,عرف (0.59),واژه‌ی جدید,concept
بدوی اعاده,65,62,action,اعاده حیثیت (0.71),واژه‌ی جدید,action
الله,71,62,concept,دین (0.61),واژه‌ی جدید,concept
اختلاف به,70,62,concept,اختلاف (0.93),alias پیشنهادی برای «اختلاف»,concept
را مسترد,69,62,action,انکار (0.76),واژه‌ی جدید,action
مدرک قانع,62,62,object,مدرک (0.75),واژه‌ی جدید,object
نکرده اند,74,62,concept,غیرمستند (0.64),واژه‌ی جدید,concept
اند،,88,62,role,اهل (0.60),واژه‌ی جدید,role
قانونی خود,73,62,principle,قانونی (0.84),واژه‌ی جدید,principle
اعطای,76,62,action,حصول (0.78),واژه‌ی جدید,action
در حدود,81,62,action,تعیین حدود (0.72),واژه‌ی جدید,action
پرونده حاضر,72,62,object,پرونده (0.82),واژه‌ی جدید,object
معاونت,157,62,action,پشتیبانی (0.66),واژه‌ی جدید,action
مشروع,86,62,concept,مشروعیت (0.72),واژه‌ی جدید,concept
دولتی,104,62,role,دولت (0.84),واژه‌ی جدید,role
موضوع رسیدگی,73,62,action,رسیدگی (0.91),alias پیشنهادی برای «رسیدگی»,action
پرداخت کرده,75,62,action,پرداخت (0.85),واژه‌ی جدید,action
دادنامه غیابی,86,62,concept,غیابی (0.76),واژه‌ی جدید,concept
دعوا صادر,76,62,object,دادخواست (0.73),واژه‌ی جدید,object
استان می,65,62,role,شهرداری (0.56),واژه‌ی جدید,role
قابل طرح,73,62,concept,قابل اجرا بودن (0.76),واژه‌ی جدید,concept
مال غیر,95,62,action,فروش مال غیر (0.84),واژه‌ی جدید,action
دیده,102,62,role,بزه‌دیده (0.71),واژه‌ی جدید,role
که دادنامه,68,62,concept,دادرسی (0.68),واژه‌ی جدید,concept
در محتویات,65,62,role,مضمون (0.66),واژه‌ی جدید,role
در موعد,83,62,principle,طبق قانون (0.68),واژه‌ی جدید,principle
اظهار می,116,62,object,اظهارنامه (0.79),واژه‌ی جدید,object
دانگ از,111,62,role,ديان (0.53),واژه‌ی جدید,role
اشاره به,70,62,action,ارجاع (0.74),واژه‌ی جدید,action
مسموع,71,62,action,گوش به زنگ بودن (0.69),واژه‌ی جدید,action
الزام زوج,88,62,action,الزام (0.74),واژه‌ی جدید,action
مخالف قانون,65,62,concept,خلاف قانونی (0.87),alias پیشنهادی برای «خلاف قانونی»,concept
دادند,81,62,action,پرداخت (0.69),واژه‌ی جدید,action
خواهان مدعی,70,62,role,مدعی (0.85),واژه‌ی جدید,role
شعبه هفتم,113,62,object,شعبه دادگاه (0.70),واژه‌ی جدید,object
ماشین,146,62,object,وسائل نقلیه (0.74),واژه‌ی جدید,object
کارهایی,93,62,object,شغل (0.65),واژه‌ی جدید,object
از شهود,82,62,object,شواهد (0.75),واژه‌ی جدید,object
دانستن اعتراض,62,62,action,اعتراض (0.78),واژه‌ی جدید,action
الزام زوجه,79,62,role,متهم (0.63),واژه‌ی جدید,role
پایه یک,77,62,object,واحد پول (0.61),واژه‌ی جدید,object
قانونی را,72,62,principle,قانونی (0.85),واژه‌ی جدید,principle
دلائل موجود,62,62,object,دلایل توجیهی (0.83),واژه‌ی جدید,object
عمومی جزایی,92,61,principle,حقوق عمومی (0.66),واژه‌ی جدید,principle
جهت تعیین,71,61,concept,حق تعیین (0.70),واژه‌ی جدید,concept
درخواست اعاده,134,61,action,استرداد (0.79),واژه‌ی جدید,action
همسرش خانم,62,61,concept,شخص (0.63),واژه‌ی جدید,concept
رسیدگی مورخ,69,61,action,رسیدگی (0.85),واژه‌ی جدید,action
می کنم,86,61,action,پیشنهاد (0.66),واژه‌ی جدید,action
دفاتر رسمی,69,61,object,دفتر اسناد رسمی (0.79),واژه‌ی جدید,object
پرداخت حق,78,61,action,پرداخت (0.84),واژه‌ی جدید,action
در ان,92,61,principle,طبق قانون (0.62),واژه‌ی جدید,principle
طرفیت اقای,71,61,action,پشتیبانی (0.65),واژه‌ی جدید,action
بین خواهان,69,61,role,اصحاب دعوی (0.65),واژه‌ی جدید,role
تحقیق از,77,61,action,پژوهش (0.69),واژه‌ی جدید,action
از استماع,74,61,action,گوش به زنگ بودن (0.74),واژه‌ی جدید,action
در برگ,123,61,object,یادداشت (0.60),واژه‌ی جدید,object
تأکید,69,61,action,تأیید (0.68),واژه‌ی جدید,action
بلاوجه,68,61,concept,بلاعوض (0.70),واژه‌ی جدید,concept
ابرازی صحیحاً,61,61,action,خوداظهاری (0.70),واژه‌ی جدید,action
گردد لذا,64,61,concept,سبب (0.59),واژه‌ی جدید,REMOVE
ثانی,70,61,role,ثالث (0.61),واژه‌ی جدید,role
مالکیت خواهان,87,61,concept,مالکیت (0.77),واژه‌ی جدید,concept
دعوی تقابل,170,61,action,اقامه دعوی (0.76),واژه‌ی جدید,action
موکل از,75,61,role,متهم (0.71),واژه‌ی جدید,role
پیرو,65,61,role,پیک (0.54),واژه‌ی جدید,role
دادنامه مزبور,66,61,role,متهم (0.67),واژه‌ی جدید,role
دادسرا,91,61,concept,دادرسی (0.82),واژه‌ی جدید,concept
شرحی,68,61,action,گزارش‌گیری (0.62),واژه‌ی جدید,action
خطاب به,107,61,action,طی نامه (0.66),واژه‌ی جدید,action
معامله در,81,61,object,معامله (0.88),alias پیشنهادی برای «معامله»,object
صادق,66,61,concept,صادق بودن (0.76),واژه‌ی جدید,concept
برابر مقررات,71,61,action,وضع مقررات (0.69),واژه‌ی جدید,action
ترافع,90,61,concept,ترصيف (0.71),واژه‌ی جدید,concept
خوانده بوده,66,61,action,گوش به زنگ بودن (0.66),واژه‌ی جدید,action
دعوی اصلی,135,61,concept,دعوی (0.81),واژه‌ی جدید,concept
اجاره نامه,120,61,object,عقد اجاره (0.83),واژه‌ی جدید,object
در تبصره,79,61,object,تبصره (0.91),alias پیشنهادی برای «تبصره»,object
باشم,77,61,concept,ذمه (0.58),واژه‌ی جدید,concept
واقعه,113,61,object,قضیه (0.75),واژه‌ی جدید,object
دارا,68,61,concept,زنا (0.56),واژه‌ی جدید,concept
از ملک,97,61,object,فرع ملک (0.69),واژه‌ی جدید,object
جزء پلاک,91,61,object,پلاک (0.81),واژه‌ی جدید,object
منعقده,77,61,object,موقوفه (0.64),واژه‌ی جدید,object
ریال وجه,87,61,object,وجه (0.69),واژه‌ی جدید,object
اقامه شده,75,61,action,اقامه دعوی (0.75),واژه‌ی جدید,action
دادگاه می,66,61,role,رئیس دادگاه (0.66),واژه‌ی جدید,role
داور زوجه,72,61,action,داوری (0.65),واژه‌ی جدید,action
دادگاه دادنامه,64,61,concept,دادرسی (0.75),واژه‌ی جدید,concept
ملک موصوف,74,61,role,موصی (0.65),واژه‌ی جدید,role
رد تجدیدنظر,62,61,concept,تجدیدنظر (0.86),واژه‌ی جدید,concept
سه میلیون,97,61,concept,ثلث (0.65),واژه‌ی جدید,concept
مدلول دادنامه,61,61,object,وکالت‌نامه (0.66),واژه‌ی جدید,object
در مجموع,68,61,principle,طبق قانون (0.64),واژه‌ی جدید,principle
حالت,90,61,action,وضع (0.70),واژه‌ی جدید,action
طرفیت همسرش,62,61,concept,نفقه (0.59),واژه‌ی جدید,concept
مذکور ضمن,62,61,action,طی آگهی (0.68),واژه‌ی جدید,action
شرعاً,87,61,principle,طبق قانون (0.79),واژه‌ی جدید,principle
منزل را,82,60,action,ورود به ملک (0.63),واژه‌ی جدید,action
ذات البین,67,60,action,اصلاح ذات‌البین (0.75),واژه‌ی جدید,action
در یکی,73,60,concept,طی شرایط خاص (0.64),واژه‌ی جدید,concept
قانونی تشخیص,61,60,principle,قانونی (0.77),واژه‌ی جدید,principle
تکذیب,68,60,action,نشر اکاذیب (0.77),واژه‌ی جدید,action
دقیق,71,60,action,جدیت (0.65),واژه‌ی جدید,action
حضور نیافته,64,60,action,عدم حضور (0.83),واژه‌ی جدید,action
سررسید,123,60,object,قبض رسید (0.71),واژه‌ی جدید,object
خور,66,60,role,مالک (0.60),واژه‌ی جدید,REMOVE
در مطالبه,72,60,object,طلب (0.72),واژه‌ی جدید,object
احتساب هزینه,68,60,object,هزینه (0.82),واژه‌ی جدید,object
حق تجدیدنظرخوانده,60,60,concept,تجدیدنظر (0.81),واژه‌ی جدید,concept
به تجدیدنظرخوانده,67,60,concept,تجدیدنظر (0.85),واژه‌ی جدید,concept
فعلاً,76,60,concept,صادق بودن (0.65),واژه‌ی جدید,concept
برابر دادنامه,83,60,action,طی روند دادرسی (0.71),واژه‌ی جدید,action
به شخص,71,60,concept,شخص (0.90),alias پیشنهادی برای «شخص»,concept
سوی دیگر,67,60,role,بی‌طرف (0.60),واژه‌ی جدید,role
به صلاحیت,87,60,concept,صلاحیت (0.88),alias پیشنهادی برای «صلاحیت»,concept
رعایت تشریفات,61,60,principle,رعایت قانون (0.78),واژه‌ی جدید,principle
دادرس شعبه,65,60,object,شعبه دادگاه (0.74),واژه‌ی جدید,object
آتی,66,60,object,اعیانی (0.64),واژه‌ی جدید,REMOVE
مجری,69,60,role,مجری حکم (0.73),واژه‌ی جدید,role
خواسته که,70,60,object,طلب (0.70),واژه‌ی جدید,object
با پرداخت,68,60,action,پرداخت (0.86),واژه‌ی جدید,action
با ارسال,63,60,action,طی نامه (0.69),واژه‌ی جدید,action
تخریب,119,60,concept,خسارت (0.79),واژه‌ی جدید,concept
شلاق,121,60,concept,خشونت (0.68),واژه‌ی جدید,concept
مستقر,79,60,principle,ثبات (0.76),واژه‌ی جدید,principle
ملک مذکور,70,60,concept,شخص (0.62),واژه‌ی جدید,concept
ان در,78,60,principle,طبق قانون (0.59),واژه‌ی جدید,principle
دادگاه قطعی,61,60,concept,احکام قطعی (0.84),واژه‌ی جدید,concept
واز,66,60,concept,زور (0.63),واژه‌ی جدید,REMOVE
ازابلاغ قابل,61,60,action,استعلام (0.63),واژه‌ی جدید,action
به بررسی,60,60,action,بررسی (0.88),alias پیشنهادی برای «بررسی»,action
هـ,97,60,concept,هبه (0.79),واژه‌ی جدید,REMOVE
که دعوی,63,60,concept,دعوی (0.79),واژه‌ی جدید,concept
مشتمل,67,60,role,مضمون (0.62),واژه‌ی جدید,role
مستنداٌ,79,60,object,مستندات (0.74),واژه‌ی جدید,object
اجرای آن,68,60,concept,قابل اجرا بودن (0.73),واژه‌ی جدید,concept
قبال طلاق,99,60,concept,طلاق (0.76),واژه‌ی جدید,concept
سوی وکیل,77,60,role,وکیل (0.83),واژه‌ی جدید,role
مذکور که,68,60,principle,لحاظ (0.63),واژه‌ی جدید,principle
تهران خواهد,64,60,concept,تمایل (0.59),واژه‌ی جدید,concept
محکومیت به,71,60,concept,به‌محکومیت (0.94),alias پیشنهادی برای «به‌محکومیت»,concept
مدارکی,69,60,object,مدرک (0.73),واژه‌ی جدید,object
مدعی شده,66,60,role,مدعی (0.86),واژه‌ی جدید,role
پیش گفته,72,60,action,پیش‌گویی (0.77),واژه‌ی جدید,action
پنجم دادگاه,107,60,concept,خمس (0.66),واژه‌ی جدید,concept
اینکه اولاً,61,60,principle,پیش‌فرض (0.61),واژه‌ی جدید,principle
کرده ام,73,60,object,یادداشت (0.57),واژه‌ی جدید,object
نخواهد داشت,69,60,action,عدم حضور (0.66),واژه‌ی جدید,action
فک,176,60,action,فک رهن (0.78),واژه‌ی جدید,REMOVE
خوانده که,64,60,role,موصی له (0.61),واژه‌ی جدید,role
متوفی,175,60,concept,موقوف (0.69),واژه‌ی جدید,concept
امام,83,60,object,وام (0.64),واژه‌ی جدید,object
ملک در,73,60,action,ورود به ملک (0.77),واژه‌ی جدید,action
اشکال صادر,60,60,concept,نقص (0.66),واژه‌ی جدید,concept
برگشت,117,60,action,بازیابی (0.69),واژه‌ی جدید,action
رأی ظرف,61,60,object,رأی (0.81),واژه‌ی جدید,object
مسئله,93,60,object,قضیه (0.79),واژه‌ی جدید,object
مخدر,200,60,object,عقار (0.75),واژه‌ی جدید,object
منزلی,68,60,concept,شخص (0.55),واژه‌ی جدید,concept
خسارات وارده,81,59,concept,خسارت وارده (0.91),alias پیشنهادی برای «خسارت وارده»,concept
توجها به,66,59,principle,احتیاط (0.72),واژه‌ی جدید,principle
شناسایی,77,59,action,احراز هویت (0.78),واژه‌ی جدید,action
پرداخت می,69,59,action,پرداخت (0.87),واژه‌ی جدید,action
اند در,69,59,role,اهل (0.61),واژه‌ی جدید,REMOVE
که نامبرده,62,59,role,موقوف علیه (0.66),واژه‌ی جدید,role
وی بوده,68,59,concept,شخص (0.64),واژه‌ی جدید,REMOVE
رسیدگی نموده,68,59,action,رسیدگی (0.88),alias پیشنهادی برای «رسیدگی»,action
رسیدگی می,63,59,action,رسیدگی (0.89),alias پیشنهادی برای «رسیدگی»,action
گواهی گواهان,80,59,object,گواهی (0.89),alias پیشنهادی برای «گواهی»,object
فراهم سازد,60,59,concept,ایجاد تعهد (0.71),واژه‌ی جدید,concept
انضمام کلیه,66,59,object,کلیه (0.69),واژه‌ی جدید,object
یوسف,66,59,action,عید (0.51),واژه‌ی جدید,action
طرح در,75,59,action,پیشنهاد (0.63),واژه‌ی جدید,action
درخواست تجدیدنظر,63,59,concept,تجدیدنظر (0.90),alias پیشنهادی برای «تجدیدنظر»,concept
موجب ان,64,59,concept,سبب (0.78),واژه‌ی جدید,concept
متفاوت,70,59,concept,اختلاف (0.71),واژه‌ی جدید,concept
درحق خواهان,64,59,role,صاحب‌حق (0.74),واژه‌ی جدید,role
که حکم,66,59,object,حکم (0.78),واژه‌ی جدید,object
را دریافت,69,59,action,وصول (0.74),واژه‌ی جدید,action
نمیباشد,76,59,action,نفی (0.67),واژه‌ی جدید,action
ضمنی,61,59,concept,غیرمستقیم (0.71),واژه‌ی جدید,concept
لیکن در,70,59,role,ولی (0.63),واژه‌ی جدید,role
صوری,179,59,object,تصویر (0.67),واژه‌ی جدید,object
هردو,67,59,object,هفتگی (0.55),واژه‌ی جدید,object
رضایی,61,59,role,قضائیه (0.57),واژه‌ی جدید,role
مشتمل بر,65,59,role,مضمون (0.68),واژه‌ی جدید,role
معنای,78,59,concept,تعریف (0.79),واژه‌ی جدید,concept
تمسک,69,59,concept,تملیک (0.74),واژه‌ی جدید,concept
نمی نماید,65,59,concept,غیرمنتفع (0.65),واژه‌ی جدید,REMOVE
مجتبی,63,59,role,قاضی (0.57),واژه‌ی جدید,role
استمرار,80,59,principle,ثبات (0.67),واژه‌ی جدید,principle
اظهارات وکلای,61,59,concept,نظر کارشناسان حقوقی (0.76),واژه‌ی جدید,concept
کیفیت مطروحه,60,59,action,ارزیابی (0.59),واژه‌ی جدید,action
اصولاً,70,59,principle,پیش‌فرض (0.66),واژه‌ی جدید,principle
وسایل,78,59,object,لوازم (0.88),alias پیشنهادی برای «لوازم»,object
خوانده محترم,76,59,role,مخاطب (0.67),واژه‌ی جدید,role
باطل است,81,59,concept,باطل (0.90),alias پیشنهادی برای «باطل»,concept
رسمی ملک,80,59,action,ورود به ملک (0.66),واژه‌ی جدید,action
صورت مجلس,90,59,object,صورت‌مجلس تفکیکی (0.75),واژه‌ی جدید,object
نیز ایراد,59,59,concept,هم‌راهی (0.60),واژه‌ی جدید,concept
خارجی,117,59,concept,خارج از قلمرو (0.70),واژه‌ی جدید,concept
با عدم,76,59,action,عدم حضور (0.71),واژه‌ی جدید,action
نامه مذکور,74,59,action,طی نامه (0.75),واژه‌ی جدید,action
الوصف,62,59,action,ارزیابی (0.66),واژه‌ی جدید,action
در قانون,77,59,principle,طبق قانون (0.84),واژه‌ی جدید,principle
دو ماه,78,59,concept,بلاتکلیفی (0.55),واژه‌ی جدید,concept
درصورتی,68,59,principle,فقط در صورت (0.79),واژه‌ی جدید,principle
فرع,73,59,object,فرع ملک (0.83),واژه‌ی جدید,REMOVE
خلاف آن,64,59,concept,خلاف (0.83),واژه‌ی جدید,concept
اقتضاء,65,59,object,طلب (0.69),واژه‌ی جدید,object
مواد مخدر,198,59,object,عقار (0.71),واژه‌ی جدید,object
شعبه ششم,87,59,object,شعبه دادگاه (0.71),واژه‌ی جدید,object
رسا,60,59,role,راشی (0.59),واژه‌ی جدید,REMOVE
نجفی رسا,60,59,role,شفیع (0.49),واژه‌ی جدید,role
به کار,88,58,object,شغل (0.68),واژه‌ی جدید,object
پلیس,117,58,action,گشت پلیس (0.73),واژه‌ی جدید,action
از طی,67,58,action,طی نامه (0.76),واژه‌ی جدید,action
مطالبی,77,58,role,مضمون (0.64),واژه‌ی جدید,role
مغایرتی,65,58,concept,مغایرت (0.92),alias پیشنهادی برای «مغایرت»,concept
رای به,72,58,object,رأی (0.83),واژه‌ی جدید,object
باشد دادگاه,63,58,action,ورود به دادگاه (0.73),واژه‌ی جدید,action
حاصل از,77,58,action,حصول (0.68),واژه‌ی جدید,action
ورشکستگی,317,58,action,اعلام ورشکستگی (0.81),واژه‌ی جدید,action
خوانده،,67,58,action,گذراندن (0.63),واژه‌ی جدید,action
معموله,79,58,concept,لازمه (0.61),واژه‌ی جدید,concept
عدم ارائه,62,58,action,عدم حضور (0.82),واژه‌ی جدید,action
تجدیدنظرخوانده صادر,60,58,object,رای تجدیدنظر (0.77),واژه‌ی جدید,object
مازاد بر,84,58,concept,زیادتی هزینه‌ها (0.66),واژه‌ی جدید,concept
بگیرد,61,58,action,گرفتن (0.82),واژه‌ی جدید,action
اند لذا,60,58,concept,سبب (0.61),واژه‌ی جدید,REMOVE
مشارکت در,130,58,concept,مشارکت (0.93),alias پیشنهادی برای «مشارکت»,concept
موکل خود,72,58,concept,شخص (0.71),واژه‌ی جدید,concept
دفاعیات وکیل,61,58,object,دفاعیات (0.88),alias پیشنهادی برای «دفاعیات»,object
مادرش,95,58,role,والدین (0.69),واژه‌ی جدید,role
مالی زوجه,86,58,concept,وضعیت مالی (0.69),واژه‌ی جدید,concept
با زوج,73,58,concept,ازدواج (0.67),واژه‌ی جدید,concept
جملگی,69,58,object,هفتگی (0.66),واژه‌ی جدید,object
در حین,72,58,action,طی روند دادرسی (0.81),واژه‌ی جدید,action
بوده به,58,58,principle,لحاظ (0.59),واژه‌ی جدید,principle
دادگاه اعتراض,61,58,concept,حق اعتراض (0.83),واژه‌ی جدید,concept
مستأجر,186,58,object,عقد اجاره (0.71),واژه‌ی جدید,object
راضی,72,58,action,رد (0.63),واژه‌ی جدید,action
عرصه,136,58,principle,محیط (0.65),واژه‌ی جدید,principle
به گواهی,63,58,object,گواهی (0.80),واژه‌ی جدید,object
از گذشت,65,58,action,گذراندن (0.69),واژه‌ی جدید,action
قانونی که,63,58,principle,قانونی (0.75),واژه‌ی جدید,principle
زمره,76,58,concept,زمره جرایم (0.78),واژه‌ی جدید,concept
در تصرف,77,58,action,تصرف (0.80),واژه‌ی جدید,action
تبع,73,58,role,تبعه (0.80),واژه‌ی جدید,REMOVE
در غیر,62,58,concept,غیرازموارد (0.72),واژه‌ی جدید,concept
قدر,64,58,concept,قدر متقین (0.74),واژه‌ی جدید,REMOVE
اجراء,70,58,concept,اطلاق (0.76),واژه‌ی جدید,concept
در ایام,100,58,concept,طی شرایط خاص (0.71),واژه‌ی جدید,concept
پدری,84,58,role,والدین (0.63),واژه‌ی جدید,role
علل,60,58,concept,علت (0.87),واژه‌ی جدید,REMOVE
انطباق ندارد,59,58,concept,اختلاف (0.68),واژه‌ی جدید,concept
شما,154,58,concept,شخص (0.55),واژه‌ی جدید,REMOVE
ای بر,60,58,object,برات (0.61),واژه‌ی جدید,object
دیگران,72,58,role,اشخاص حقیقی (0.68),واژه‌ی جدید,role
ید از,115,58,action,خلع ید (0.74),واژه‌ی جدید,action
همین قانون,60,58,principle,طبق قانون (0.72),واژه‌ی جدید,principle
پرونده می,64,58,object,پرونده (0.75),واژه‌ی جدید,object
قبول ندارم,114,58,action,انکار (0.76),واژه‌ی جدید,action
بر وجود,62,58,principle,طبق قانون (0.62),واژه‌ی جدید,principle
لذا اعتراض,58,58,action,اعتراض (0.81),واژه‌ی جدید,action
نماید لذا,59,58,concept,سبب (0.62),واژه‌ی جدید,REMOVE
فوری,89,58,role,مباشر (0.66),واژه‌ی جدید,role
خواسته فسخ,70,58,action,فسخ (0.84),واژه‌ی جدید,action
نکاح را,81,58,concept,نکاح (0.85),واژه‌ی جدید,concept
قرار ردّ,80,58,action,قرار (0.72),واژه‌ی جدید,action
لغایت صدور,82,58,action,صادر کردن حکم (0.68),واژه‌ی جدید,action
خسارت به,76,57,concept,خسارت (0.95),alias پیشنهادی برای «خسارت»,concept
دادگاه اعلام,73,57,concept,نظر دادگاه (0.73),واژه‌ی جدید,concept
تکرار مطالب,66,57,action,یادآوری (0.68),واژه‌ی جدید,action
ناحیه زوجه,64,57,object,محل (0.59),واژه‌ی جدید,object
موصوف در,66,57,role,موصی له (0.73),واژه‌ی جدید,role
صالح به,71,57,concept,صالح بودن (0.77),واژه‌ی جدید,concept
اختلاف می,57,57,concept,اختلاف (0.91),alias پیشنهادی برای «اختلاف»,concept
بقاء,68,57,action,حفظ (0.69),واژه‌ی جدید,action
بوکالت از,91,57,action,احاله (0.56),واژه‌ی جدید,action
تأدیه از,79,57,action,تقیید (0.63),واژه‌ی جدید,action
دفتر دادگاه,75,57,object,دفتر روزنامه (0.77),واژه‌ی جدید,object
این حکم,70,57,action,صادر کردن حکم (0.72),واژه‌ی جدید,action
صادرواعلام می,62,57,action,صادر کردن گواهی (0.70),واژه‌ی جدید,action
دخالت,79,57,concept,مداخله (0.85),واژه‌ی جدید,concept
دعوی الزام,67,57,concept,دعوی (0.89),alias پیشنهادی برای «دعوی»,concept
هریک از,68,57,principle,طبق قانون (0.56),واژه‌ی جدید,principle
منتخب دادگاه,71,57,role,رئیس دادگاه (0.64),واژه‌ی جدید,role
درجه,88,57,concept,حد (0.70),واژه‌ی جدید,concept
انتسابی,85,57,concept,صحت انتساب (0.75),واژه‌ی جدید,concept
مرکز استان,62,57,object,محل (0.60),واژه‌ی جدید,object
آزاد,82,57,concept,حریت (0.75),واژه‌ی جدید,concept
مصرف,103,57,action,استعمال (0.81),واژه‌ی جدید,action
پرداخت دیه,93,57,action,پرداخت (0.76),واژه‌ی جدید,action
خواهان وارد,63,57,action,ورود به دادگاه (0.76),واژه‌ی جدید,action
دریافتی,86,57,action,وصول (0.78),واژه‌ی جدید,action
